score_OVERALL UNIVERSITY RATING,score_Job Prospects,score_Course and Lecturers,score_Uni Facilities,score_Student Support,score_Do you think your time at university this year has been value for money?,score_Students' Union,score_Accommodation,score_Local life,score_Societies and Sports,name,date,degree,reviews
rat3,rat5,rat4,rat3,rat3,ratN,,,,,Marta,01 May 21,Mathematics (MSc)," Although it is all due to Covid I did struggle to enjoy my time this year. The lecturers were quite drab in my opinion and the night life was appalling but am excited to see how things change next year. Plenty of societies and work fairs, they are always well advertised and due to a great community of like minded individuals I think the job prospects are excellent. 19 Plenty of room across campus however during lockdown the lack of space we were allowed to visit was awful. People were battling for space in small buildings and it was hard to find a place to study away from your own flat. Well being groups were a great help to me and it was easy to gain access to mental health support through an online portal. However I had great difficulty withdrawing my housing contract due to mental health as the disability team did not see it extreme enough which caused me great distress and after two months of constant battles and forms I was finally released from my contract. It caused me much more stress than necessary. No"
rat2,rat3,rat4,rat4,rat3,ratN,,,,,Jajeevan,14 Apr 21,Mathematics and Physics BSc (Hons), It hasn’t been the best year at university with everything being online. There have been many instances of disorganisation from lecturers or departments which can be frustrating when students are already stressed. I miss learning in person and having proper contact hours. Overall it has been manageable however but very strenuous. The support is widely available to people who want it and know where to look. However I still believe the university could take a more active approach. 2 Right now only a few learning spaces are open but the equipment and facilities are quite good. There are a lot of options available in terms of support but I believe the university could take a more active role in personal support. No
rat4,rat5,rat2,rat3,rat4,ratN,,,,,Vihan,14 Apr 21,Physics MPhys, The year has been pretty good and been interesting. A lot of time was needed to adjust to the new teaching styles and virtual lectures etc. The uni experience had been very good though the lack of meeting people on your course comes as a struggle for academic support 30 Physics department is restricted at the moment No
rat5,rat5,rat4,rat4,rat4,ratN,,,,,Joel,14 Apr 21,Medicine (MD)," Good experience on clinical placement. Limited contact time outside of clinical hours, online lectures/seminars don’t feel as though the learning is as fulfilling. 30 No"
rat4,rat4,rat4,rat5,rat4,ratY,,,,,Sivapriyaa,13 Apr 21,"Mathematics, Operational Research, Statistics, Economics (MORSE) BSc (Hons)"," I think it's been hard all around for all universities but Warwick has done a good job given all the online teaching. We actually had some face to face teaching in term 1 which was really enjoyable and the professors and department have been quick to respond to any queries or issues. So, given the circumstances, it has been quite a good year. 18 Yes"
rat5,rat5,rat5,rat5,rat5,ratY,,,,,Dannier,13 Apr 21,Engineering (PhD/MPhil), Amazing facilities and inspiring lecturers. The induction process was both professional and informative. Everything is top class and couldn’t be happier. An easy recommendation. Yes
rat3,rat4,rat3,rat4,rat3,ratN,,,,,Student Reviewer,10 Apr 21,Medicine (MD)," More challenging due to the limitations imposed by COVID-19. Including online learning and reduced clinical exposure. University have adapted wel but has had significant impact on learning. Good job Prospects due to the nature of the degree. Poor careers advice team, as although attached to the medical school have little knowledge regarding how individual specialities work post medical school. 30 No issues. University has good well-being service however very difficult to get access due to high demand. Disability service are responsive and offer support however some departments are not very accommodating but disability services attempt to educate them to avoid issues. No"
rat3,rat4,rat4,rat4,rat3,ratN,,,,,Olivia,10 Apr 21,Engineering MEng (Hons), Online learning has made the course very different from what it was before lockdown; while lecturers and staff try to give as much support as possible it is nowhere near the same as in person teaching. Well-being services at the Uni are not very helpful. 10 No
rat4,rat4,rat5,rat4,rat3,ratN,,,,,Funmi,09 Apr 21,Politics and International Studies BA (Hons)," So far so good, my personal tutor has been so helpful to me this year and I think it has made me feel good about how I’m doing. My seminar tutors have been really supportive and given me helpful feedback to do better. 
We should pay less this year, we barley had face to face so we didn’t get the full money value I’m still in uni so I don’t have much to say on this, however the Warwick Internship site and even it’s partnership with Unitemp has been so helpful 10 They provide a lot of online book, which in this covid time has been really helpful
I haven’t really explored their other facilities I personally have not had a bad experience , when I thought I was dyslexic they gave me support and when covid hit, the called all students asking how they were mentally etc however recent news will let you know that when it comes to other aspects they are lacking in student support No"
rat5,rat4,rat5,rat5,rat4,ratY,,,,,Chloe,08 Apr 21,Biological Sciences MBioSci," I have really enjoyed studying here, the staff and students are all great and I wouldn’t have changed my experience. The course was very high quality and the general university experienced has been better than expected. Good access to internships and job opportunities Currently taught online due to covid restrictions but during my first and second years the contact hours and quality of teaching were excellent. Teaching labs and lecture theatres are great. There is a good well-being service Yes"
rat4,rat4,rat4,rat5,rat4,ratN,,,,,Emily,01 Apr 21,Film Studies BA (Hons)," Considering the circumstances with COVID, I feel as though my department has fully maximised what can be done to make the experience as beneficial to me as possible. The department is helpful and understanding of everyone’s personal circumstances and has always found a way to help organise something for me (e.g a seminar needing to reallocated) without issue. Term 1 was a mix of online and in person. Seminars were in person (x4 a week), everything else was asynchronous and pre-recorded. 
Term 2 was online only. Seminars 4x a week but always on MS teams. Good library resources and COVID space study spaces. World class health facilities. Great equipment in gym. No"
rat3,rat4,rat3,rat4,rat4,ratN,,,,,Claudia,01 Apr 21,"Mathematics, Operational Research, Statistics and Economics (MORSE) MMorse"," Because there is only 3hours a week of live seminar, and the lectures are pre recorded, it’s pretty hard to catch up and to ask questions. I think the university could have done better (something practical) to ensure students still get the maximum support. 20 No"
rat3,rat5,rat4,rat5,rat4,ratN,,,,,Pharo,23 Mar 21,History and Politics BA (Hons)," university has good facilities, services, and support available - however, due to current circumstances in the pandemic, i am unable to make use of these as much as i would like to, to the detriment of my overall university experience. Teaching offered has also been of good quality, but online learning is not as engaging as in-person. lots of opportunities are shared within my department, and also by other bodies, such as the student union, and departments that are focussed on career development. good access to transport, main campus, and lots of services available on campus. 
lots of study space available, and other facilities (e.g. sports hub, etc.) have not used any of the services offered, but am aware of a range of them available. No"
rat5,rat5,rat3,rat5,rat5,ratY,,,,,Akansha,21 Mar 21,Marketing and Strategy (MSc)," The overall experience is really good. It could have been better if pandemic and online classes were not there but it’s still amazing. We feel at home with Warwick and the experience of being a part of such big community is great. The university is prestigious and allow us to have great career opportunities. All around I’m happy here. There are so many workshops, guest lectures and events organised that it makes it so easy to develop networks. 6 The atmosphere of university is amazing. Everything feels sophisticated and A grade. It is clean at all times and it’s very very spacious and the architecture is quite modern. They run special services to cope with mental tiredness and students who are feeling home sick. Any problem that I have had was resolved within 2 days. Support is always provided at Warwick. Yes"
rat1,rat3,rat4,rat4,rat3,,rat3,rat2,rat4,rat3,Student Reviewer,09 Nov 20,Postgraduate Certificate in Education (PGCE) in Secondary (11-18)," Would not go. Staff are abusive towards trainees, and facilitate abuse (including racism and sexism) by their partner schools. 
Uses threats to force trainees to not complain, and classes any grievances as due to a “lack of professionalism” on the part of the trainee.
Used invented allegations against trainees submitted without any evidence whatsoever in order to marginalise disfavoured students, and on multiple occasions outright refused to provide details and evidence with their accusations.
Complaints procedure focuses only on covering the staff and not resolving problems. Placement based course so irrelevant question. 8 Good library etc. Access to counselling service was ok. Ostensibly good but never used by myself. Was a building site for the whole year and never finished properly. Always builders coming in and out and was forced to evacuate due to a faulty fire alarm. Good city to live in, nightlife and transport etc all good Ostensibly good but never used by myself."
rat1,rat1,rat1,rat1,rat1,,rat1,rat1,rat1,rat1,Student Reviewer,09 May 20,Accounting and Finance MSc, Warwick university is a big avoid!!! They like to charge the fees for facilities that are not there. The library is very dated. Tutors do not seem to care especially at postgrad level. The admin team and not bothered by class sizes being overflowed for seminars. 20 It was not great. University tutors took forever replying to emails and sometimes they ignored it and you had to go personally find their office. Most of which they’ll never be in there It was very poor and bad for student health with a mould issue and incompetent staff No. Warwick campus is very far from everything and has a pretty rubbish social life
rat5,rat3,rat5,rat4,rat4,,rat4,,rat5,rat5,Bradley,29 Jan 20,Civil Engineering MEng (Hons)," It’s been pretty good, it’s a good uni especially for my course. Good lecturers on the whole and good range of sports and societies. Nice campus with lots of green spaces. A bit 20 Alright Alright Yeah Good"
rat3,rat3,rat4,rat3,rat3,,rat4,,rat4,rat2,Dan,27 Jan 20,Politics and International Studies BA (Hons)," Warwick is a great University for Academics and challenging courses, and the campus has some merits.
However, location is not great and is awkward to get to places.
The biggest thing the University does not take seriously is student living and the affordability of things from accommodation to drinks to laundry. All of these facilities/services they increase in cost every year, especially accommodation.
It's a good university but just be cautious. Now, the University does use a careers site so you can browse opportunities, there are multiple workshops and ultimately and crucially, it is down to you and you have to go out and seek opportunities with the university providing some support.
Could do a lot more though, to tell students that you need to get experience.
You are paying £9,250 at the end of the day. 8 As stated previously, the Student Union is good, but the washing machines can be pricey because run by private company who can charge lots for one single wash.
Crucially, not from experience but there have been a lot of complaints on handling mental health at the university.
 Tutors feedback is good, and you are assigned a personal tutor which you can go to at any time for help.
As I said, mental health services, as well as general health services should be improved, as you have to wait for months for an appointment! Good, and there is a focus on representation and an inclusive environment. 
Facilities are overall good, with cafes, pharmacy, a student union club which can be good and a terrace bar and some restaurants which are great and have made use of. Campus accommodation can be especially close to campus; good services but again the price :/// Good, and sports centre is new and has lots to offer.
However, to join sports club you have to pay a membership fee, then a fee to use facilities and then other costs - in short way more expensive than it needs to be."
rat4,rat3,rat5,rat4,rat4,,rat2,rat4,rat3,rat3,Ricardo,14 Jan 20,Psychology BSc (Hons)," Way too much money but I have enjoyed it a lot and believe it is necessary Depends on department, psychology has improved recently No open football pitches, have to pay for everything! I live in leamington - the only place for a social life Wide range but can be hard to get involved for long term"
rat5,rat4,rat5,rat4,rat3,,rat4,rat3,rat3,rat5,Martina,14 Jan 20,History and Politics BA (Hons), Advice available but not advertised well 8 Pretty expensive but safe and close to a bus stop
rat4,rat4,rat5,rat5,rat4,,rat5,,rat3,rat5,Warren,14 Jan 20,Mathematics (MSc), 20 Counselling and mental health services have long waiting lists
rat5,rat4,rat4,rat4,rat3,,rat4,rat4,rat5,rat5,Luke,14 Jan 20,History and Politics BA (Hons), Warwick is such a lovely uni to go to. I do really love the uni. Union could put on more broad events Good Leamington is such a lovely place to live 'Histsoc' is so good
rat4,rat5,rat4,rat4,rat2,,rat3,rat4,rat4,rat4,Guest123,14 Jan 20,, More 24/7 study spaces Well-being wait time too long Facilities usually faulty
rat4,rat4,rat4,rat4,rat4,,rat4,rat3,rat2,rat5,Samuel,14 Jan 20,Computer Science MEng (Hons), Can be very stressful at times but course and societies are rewarding Warwick accommodation doesn't have used in Spa compared to number of students
rat4,rat4,rat4,rat2,rat4,,rat5,rat4,rat5,rat5,Guest122,14 Jan 20,"Philosophy, Politics and Economics (PPE) BA (Hons)/BSc (Hons)", Warwick is a target uni. Little personalised interactive help Expensive on-campus gym fees Mental health bookings are required Random ballot for on campus accommodation
rat4,rat4,rat4,rat5,rat4,,rat4,rat3,rat3,rat5,Wengi,14 Jan 20,," Its good, I don't have many lectures next term"
rat3,rat4,rat3,rat3,rat4,,rat2,rat3,rat2,rat4,Michael,14 Jan 20,History BA (Hons), There have been lecturer strikes in the first term which has disrupted a lot. Not many lectures during the strikes. 9 Feel safe
rat5,rat4,rat3,rat4,rat5,,rat4,rat4,rat5,rat5,Zhi,14 Jan 20,Education Studies BA (Hons), Very nice
rat4,rat4,rat2,rat5,rat3,,rat3,rat3,rat4,rat5,Ashleigh,14 Jan 20,History of Art BA (Hons), Enjoyable and welcoming. The workload in terms of assessments is well balanced and allows for a social life Careers department are always happy to help but there are less opportunities for humanities students 4 24 hour library is ideal Counselling waiting list is too long Facilities could be improved and better marketed to reach more students Well priced in a good location Other towns and cities are easily accessible Something for everyone
rat5,rat5,rat5,rat4,rat5,,rat3,rat4,rat4,rat5,Hannen,14 Jan 20,, Overall very satisfied! Good careers services. Many vacancies on the website. Company presentations every day during the season. 15 Very nice and beautiful. The library is a bit crowded but plan to build and renew it. Frequent feedback (20 days policy). Nice professors (office hours open to everyone) Overall nice. Not too many connections with SU. Far condition and Cost  Yes - easy to enter the city centre through frequent bus services. A wide variety of societies. A newly-built sports hub.
rat5,rat5,rat5,rat4,rat5,,rat5,rat5,rat4,rat5,Xiang,14 Jan 20,," Warwick is a nice place for study :) Plenty of job fairs 15 Enough but a little bit old Good, with both academic and well-being support, high quality Not attend to much though, but they do pretty well Good Not so good location, but very convenient transportation system (buses) A lot of choices, and the spares hub is really good, maybe the best in UK universities? =D"
rat3,rat5,rat4,rat3,rat3,,rat3,rat4,rat3,rat4,Sabrina,14 Jan 20,"Philosophy, Politics and Economics (PPE) BA (Hons)/BSc (Hons)"," Good school, boring city A lot of career events & talks 9 Most departments need renovation asap. Affordable and safe Coventry cit centre is just 15-20 mins away"
rat5,rat3,rat3,rat5,rat5,,rat4,rat5,rat4,rat5,Alberto,14 Jan 20,Psychology BSc (Hons)," Reasonable, high quality"
rat3,rat5,rat3,rat4,rat3,,rat4,rat2,rat5,rat4,Yolda,14 Jan 20,History BA (Hons), too many deadlines at once career fair 9 24 hour library house burgled Really pricey but disadvantaged students get extra money
rat4,rat2,rat4,rat4,rat2,,rat4,rat2,rat4,rat4,Hannah,14 Jan 20,Hispanic Studies BA (Hons), 15 too expensive
rat4,rat5,rat5,rat5,rat5,,rat4,rat4,rat3,rat5,Teodora,14 Jan 20,Behavioural and Data Science (MSc), Places to eat could be better
rat4,rat3,rat4,rat3,rat3,,rat4,rat2,rat5,rat3,Michael,14 Jan 20,Hispanic Studies BA (Hons), 15 Academic tutors have been helpful
rat5,rat4,rat5,rat5,rat5,,rat4,rat4,rat5,rat3,Ollie,14 Jan 20,Chemistry BSc (Hons)," Having fun, learning lots Safe and well maintained"
rat5,rat4,rat4,rat4,rat4,,rat4,rat5,rat4,rat5,Tara,14 Jan 20,English and Theatre Studies BA (Hons)," My societies make my uni experience what it is, very happy with the course I chose! Lots of careers programmes, alumni events and support. Haven't used them yet. My experience with the mental health department has been positive but not for some friends. Leamingto is pricey Leamington has everything you need, just not close to a big city There's something for everyone, so much choice and variety!"
rat3,rat3,rat4,rat3,rat1,,rat2,rat3,rat3,rat3,Cristina,14 Jan 20,Hispanic Studies and ITalian BA (Hons), 15 No understanding in times needed
rat4,rat3,rat4,rat3,rat3,,rat4,rat4,rat5,rat4,Molly,14 Jan 20,English Literature BA (Hons), Enjoy it workshops etc. Good yes
rat4,rat5,rat3,rat4,rat4,,rat4,rat4,rat4,rat5,Callum,14 Jan 20,Computer Science BSc (Hons)," Enjoyable so far Have seen many advertisements Quite modern and nice Academic support is good, wellbeing is ok Mostly alright Bit pricing but nice to live in Well-being hub is too far away Good variety"
rat4,rat3,rat5,rat4,rat3,,rat3,rat4,rat3,rat4,Sydney,14 Jan 20,Biological Sciences BSc (Hons)," A generally positive experience, however the university could do more to put students first. well being services could be improved A bit expensive A bit secluded"
rat4,rat5,rat4,rat4,rat3,,rat3,rat4,rat4,rat5,Max,14 Jan 20,," Career fairs, sessions Location is close to bus stop"
rat4,rat3,rat4,rat4,rat4,,rat4,rat5,rat2,rat4,Megan,14 Jan 20,Biological Sciences BSc (Hons), mostly positive the university feels very money-hungry and it doesn't feel like students (and their safety) are a top priority On campus everything you need is there but it's in the middle of nowhere and far from off campus accommodation
rat4,rat5,rat5,rat5,rat5,,rat4,rat4,rat5,rat3,Nicky,14 Jan 20,Classical Civilisation BA (Hons), Very positive. A lot of support. 9
rat3,rat4,rat3,rat4,rat4,,rat4,rat1,rat3,rat5,Polly,14 Jan 20,, 12 Bus ride is long but buses are relatively reliable
rat4,rat4,rat5,rat4,rat4,,rat4,rat4,rat3,rat5,Akalya,14 Jan 20,CDT to Advance the Deployment of Future Mobility Technologies (EngD/PhD), Good university but everything is just expensive as the university has a monopoly as nothing else is around. Lots of career events Good but very expensive Good Good expensive but safe Bus links etc. aren't very good Good range of sports.
rat4,rat3,rat5,rat4,rat3,,rat3,rat4,rat4,rat5,James,14 Jan 20,Physics BSc (Hons), Cost can be quite high
rat3,rat3,rat4,rat4,rat3,,rat2,rat3,rat2,rat4,Harry,14 Jan 20,History BA (Hons), Enjoyed my experience but have faced many issues with academic organisation 6 Sports facilities are great but other areas are neglected There if you need it Having to live in Leamington makes getting on campus difficult and expensive
rat5,rat5,rat5,rat4,rat5,,rat5,rat4,rat4,rat4,Anna,14 Jan 20,Chemistry BSc (Hons), 20 Good value for money
rat4,rat5,rat4,rat5,rat4,,rat2,rat4,rat5,rat3,James,14 Jan 20,Philosophy (PhD), Poor for PhD students seems we are forgotten as here all year bit expensive Great facilities too expensive for students
rat4,rat4,rat4,rat4,rat4,,rat4,rat4,rat4,rat4,Paige,14 Jan 20,Philosophy (MA)," There seems to be a lot of careers events on Gym is good, Rootes Groceries could be cheaper! Very nice and good"
rat5,rat4,rat4,rat5,rat3,,rat4,rat4,rat4,rat5,Manish,14 Jan 20,Automotive Engineering BEng (Hons)," eng soc is very good 25 sports hub is amazing - Too much waiting time for appointments
- Personal tutor useful Quite long, but 100 per week, its good  Play netball for the uni and for football for societies"
rat5,rat5,rat5,rat3,rat5,,rat5,,rat4,rat5,Maisie,14 Jan 20,Biomedical Science BSc (Hons), 16 Parking at Gibbet Hill is difficult
rat3,rat4,rat3,rat3,rat2,,rat2,rat3,rat1,rat4,Andrew,14 Jan 20,Manufacturing and Mechanical Engineering BEng (Hons)," overall okay, but socially a bit limited, good course Good placements, useful resources 10 lots of good facilities got very limited numbers of study spaces overall poor Good but a little expensive far away, little to do good variety"
rat4,rat4,rat5,rat3,rat4,,rat4,rat3,rat2,rat5,Phillip,14 Jan 20,Mathematics BSc (Hons), 26 Good Not really Very good but expensive
rat4,rat3,rat4,rat3,rat1,,rat3,rat3,rat1,rat4,Amandine,14 Jan 20,Computer Science with Business Studies BSc (Hons), counselling is terrible not enough parking very good
rat5,rat5,rat4,rat5,rat4,,rat3,rat5,rat3,rat5,Jack,14 Jan 20,, Leamington the Spa
rat5,rat5,rat4,rat5,rat5,,rat5,rat4,rat5,rat4,Oussama,14 Jan 20,Computer Science BSc (Hons), Really different from High School and make us feel a lot more independent. All my coursework had good feedback and my personal tutor is trying her best to help. Really nice. Good job! Little far away from tesca
