name,date,degree,score_OVERALL UNIVERSITY RATING,OVERALL UNIVERSITY RATING,score_Job Prospects,Job Prospects,score_Course and Lecturers,Course and Lecturers,score_Uni Facilities,Uni Facilities,score_Student Support,Student Support,score_Do you think your time at university this year has been value for money?,Do you think your time at university this year has been value for money?,score_Students' Union,Students' Union,score_Accommodation,Accommodation,score_Local life,Local life,score_Societies and Sports,Societies and Sports
Rose,26 May 21,Sociology MA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'Given the circumstances, I would say I have had a great experience in my first year. I lived in halls which meant I was able to meet some people and be involved in the Edinburgh community. I think the university’s ability to teach online also increased throughout the year. In semester 1 it was quite disappointing and there were a lot of problems across all 3 of my courses, but by semester 2 this has massively improved and I felt I was benefiting from good quality teaching'}",rat3,,rat4,{'How many contact hours per week do you have?': '3'},rat4,"{""How good are your university's facilities?"": 'I didn’t have much access to them, but the library spaces were all great. They adapted well to COVID and turned a lot of classroom buildings into extra library space which could all be booked through an app'}",rat2,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'I was very lucky to have a great personal tutor/academic advisor who was super helpful. I worked with the student counselling service in semester one and they were not great, the counsellor made me feel uncomfortable and the wait times were bad. I also caught covid in this time so had to reschedule some appts which was hard to do'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
daniel,26 May 21,Fine Art MA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'Without being able to use facilities in person, and with technical hikups and poor planning especially at the start of the year (the first few weeks of semester one, tutors seemed to be making it up as they whent along, with projects being incredibly poorly planned) - although tutor support improved towards the end of semester one, it boils down to this. Should a student be relatively self motivated - their was nothing that UoE or ECA provided that the student could not have done themselves (on the fine art course). Art History was much better, with pre-recorded lectures and tutorials being easily accessible and effective as learning tools. A mixed experience.'}",rat2,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': ""Only in the first year of a five year degree, so No Comment really, we've had guest speakers in and a little info if you ask tutors but that's all do far""}",rat4,{'How many contact hours per week do you have?': '3'},rat2,"{""How good are your university's facilities?"": 'The facilities themselves seemed very adequate, and had plenty of equipment for students to make use of, however accessibility was a huge issue.'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""I don't feel like I can comment particularly on this. We constantly recurved mental health check-up emails, and acsess to disability services was pretty easy - although I'm aware that some people where not made aware of what support was actually available to them.""}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Sumaya,26 May 21,Film and Television BA (Hons),rat2,"{'Tell us about your overall university experience so far.': 'Due to the limitations of covid being the only experience of university, I don’t doubt that my answers are effected drastically. In all honesty, I’ve managed to scrape passes and do the bare minimum. The support systems from the university , or lack thereof, have been few and far between. The course content has been good and I’ve enjoyed the writing. Practical bits and bobs have obviously been almost impossible'}",rat3,,rat2,,rat2,"{""How good are your university's facilities?"": 'I started in second year so have not had the opportunity to fully utilise the resources due to covid'}",rat1,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Ciar,26 May 21,Philosophy and Politics MA (Hons),rat4,{'Tell us about your overall university experience so far.': 'I am still glad I started studying this year regardless of it being online. I have still met some great people through staying at university accomodation and would not trade tha.'},rat4,,rat3,"{'What do you like most and least about the way your course(s) are taught?': 'Fully online. 1 hour tutor session per week, per subject run online along with pre recorded lectures for subject'}",rat4,,rat4,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Sophie,26 May 21,Classics MA (Hons),rat4,"{'Tell us about your overall university experience so far.': ""Didn't love COVID but love my uni. My professors were excellent and passionate, always there to help. They have been really supportive this year during the pandemic.""}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': ""Loads of careers fairs so far and I'm only in year one""}",rat4,{'How many contact hours per week do you have?': '10'},rat5,"{""How good are your university's facilities?"": 'Good gym and library and good access to online resources'}",rat5,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Gemma,26 May 21,Social Work BSc (Hons),rat3,{'Tell us about your overall university experience so far.': 'During lockdown I feel the standard of learning has dropped significantly. It is difficult to get good marks as nearly no classes are attendance based therefore you don’t even need to show up. If more classes were more interactive then my learning experience would have been a lot better.'},rat3,,rat4,{'What do you like most and least about the way your course(s) are taught?': 'Currently fully online'},rat5,"{""How good are your university's facilities?"": 'Facilities are great, just wish there was more spaces for individual study'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Mental health support is alright but it’s difficult during the pandemic as there isn’t much help available that isn’t through zoom'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Gertie,25 May 21,Veterinary Medicine BVMS,rat5,{'Tell us about your overall university experience so far.': 'Fantastic . I loved almost every second of it. No regrets . If come back here time and time again. I pinch myself at how lucky I am to have had this incredible opportunity to learn on this course in this university. We are taught to a remarkably high standard. Very grateful'},rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I could walk into 500 hundred jobs. It’s amazing. And there are good career services'}",rat5,"{'What do you like most and least about the way your course(s) are taught?': 'Lots of contact hours. Lots of really incredible practical classes. Clinicians really want to teach and are very kind. You are very anonymous up until final year (even then...) there is mostly very bog group teaching, so it really isn’t until clinical rotations in the hospital that you get one on one time with clinicians'}",rat5,"{""How good are your university's facilities?"": 'Unbelievable facilities. The models used for us to practice clinical skills on are seriously pricey. No expense is spared. And there are so many kind owners who donate their deceased pets’ bodies for our clinica teaching. There are amazing resources at our disposal throughout the degree'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'It’s alright. I think mental health support could be better. And it has gotten better since I started out. Luckily I have never had to use such facilities but I really don’t think they really understand or fully respect young people’s problems'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Hannah,25 May 21,Biomedical Sciences BSc (Hons),rat4,"{'Tell us about your overall university experience so far.': 'Considering the circumstances I have enjoyed my year at University. It has caused my curiosity for science to grow and we have covered a large range of topics, many of which were informative and interesting. There are many enthusiastic lecturers who make learning fun. I have become good friends with my flatmates and also managed to meet a few people from my course too through group work and personal tutor. I look forward to a more conventional university experience in years to come and am excited to learn more about biomedical science.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'We have been contacted regularly by the careers service and hopefully this is something that will be easier to be involved in once in-person sessions can resume. We had a couple of guest speakers and interesting debates that were outwith the course requirements but related to the current science world.'}",rat4,{'How many contact hours per week do you have?': '3'},rat4,"{""How good are your university's facilities?"": 'Although I only lived in halls for 3 months, I had a positive experience. The room I was assigned to was spacious and had all the furniture I needed. The communal kitchen was on the small side for 5 people and we ran into some difficulties as we only had one small fridge freezer between us and no couch, so any socialising had to be done around the kitchen table. The cleaning service was good and if we needed repairs in the flat, someone would be sent quickly.'}",rat2,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""The tutorial groups were great as they allowed us to create a bond with the tutor, which was nice as we had no in-person teaching. Some course organisers were better than others at providing mental health support, although on a university level I am unsure of the services available to me. I think this is something that could be advertised more within the university as it could help more people if it was made more accessible. I can't comment on the disability support as this does not apply to me.""}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
katie,25 May 21,Geography MA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'Although content given is of a very high standard, the overall mental health support is very poor. Students are left to fend for themselves with counselling waitlists often 2 months long.'}",rat2,,rat4,{'How many contact hours per week do you have?': '9'},rat4,,rat2,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Nya,25 May 21,Scottish Literature and Classics MA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'My overall experience:\nUofE has provided excellent mental health support, but they could be doing so much more to ensure classes are face to face. Accommodation prices should have been slashed long ago, as well as tuition fees for most people. Instead of spending money on useless outdoor temporary buildings they should be supporting their students in their educational journey.'}",rat5,,rat4,{'How many contact hours per week do you have?': '8'},rat5,,rat5,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Solomon,25 May 21,Politics MA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'The University has failed to adequately adapt to the COVID-19 pandemic. There were major issues with accessibility to teaching due to poor broadband in halls and with isolation policies (leading to the Sports Union stepping in to deliver meals). Whilst these issues were mostly resolved in Semester 2, we were promised a hybrid learning model, which has still failed to materialise. I would not have moved to Edinburgh if I had known the university would provide the year it has.'}",rat4,,rat3,{'How many contact hours per week do you have?': '4'},rat5,"{""How good are your university's facilities?"": 'All University of Edinburgh facilities (social and academic) are clean and easily accessible and are of good quality.'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Counselling is easily accessible via the university, whilst it can be difficult to find some support groups (such as LGBT+ ones) they are there. Accommodation sites have some of their own support structures, as do schools and colleges and the university itself.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Emma,11 May 21,Psychology BSc (Hons),rat5,"{'Tell us about your overall university experience so far.': 'Love this uni, it’s beautiful with caring staff and constant support. Only thing that would be better is if the course was more interactive so students living at home can make more friends in their course.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'There are career opportunity days you can go to and you learn about so many areas of life that your interests expand and consequently as do your career ideas'}",rat5,{'How many contact hours per week do you have?': '10'},rat5,"{""How good are your university's facilities?"": 'Very beautiful buildings which are well looked after. Loads of places you can study at and the library is very big and relaxing.'}",rat5,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Amazing student support, there’s nightlines if you’re feeling down and personal tutors are understanding and helpful.'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Anais,06 May 21,Japanese MA (Hons),rat2,"{'Tell us about your overall university experience so far.': 'I think every university experience this year has unfortunately been poor in comparison to previous years. Online classes have been isolating and my metal health has been affected as a result. I also have much less contact hours a week, and I am extremely concerned about the cancellation of my year aboard and the ramification it will have on my language level when I graduate.'}",rat2,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I have not really received any guidance but there are open days and career councillors if needed'}",rat4,{'How many contact hours per week do you have?': '10'},rat4,"{""How good are your university's facilities?"": 'The university of Edinburgh has very accessible libraries, gyms, social areas and cafes which are all central to campus'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'The university of Edinburgh offers free counselling to those who need it, they diagnose disabilities such as ASD for free and offer a lot of support and adjustments to accommodate them'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Freya,26 Apr 21,Environmental Geoscience BSc (Hons),rat2,"{'Tell us about your overall university experience so far.': ""Bit of a joke really. It's felt like an excuse for some lecturers to just do nothing - although some have made good efforts to make the course as enjoyable as possible. It depends on which modules you take""}",rat3,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'There are jobs fairs and online opportunities'}",rat2,{'How many contact hours per week do you have?': '0'},rat4,"{""How good are your university's facilities?"": 'The library is good and is still open'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""You can contact your tutor for help but I've heard bad things about the councilling service""}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Jack,14 Apr 21,Mechanical Engineering MEng (Hons),rat3,"{'Tell us about your overall university experience so far.': 'I have not gone back to the University of Edinburgh since Christmas, and have been home since then. This is very frustrating and annoying from my perspective indeed.'}",rat4,,rat3,{'How many contact hours per week do you have?': '7'},rat5,"{""How good are your university's facilities?"": 'Very good but I have barely seen it'}",rat4,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Abby,11 Apr 21,Doctor of Veterinary Medicine DVetMed,rat2,"{'Tell us about your overall university experience so far.': 'Clinicians and people lecturers are very helpful and supportive. They clearly care about us students. Upper management does not seem to care about student feelings or experience. When talking to lower years they only tell them the positive feedback and ignore the negative, showing they don’t care and/or listen. Our year is expected to accept anything that is done (or not done) and get on with it. There is no explanations given when deadlines aren’t met on the part of the university and little consideration seems to be given for us. A real shame, given how wonderful the teaching staff are.'}",rat4,,rat4,{'How many contact hours per week do you have?': '16'},rat5,,rat2,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Nicholas,11 Apr 21,Economics MA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'This year has been challenging for everyone, but especially for Uni students. UoE has been good and supporting their students during these tough times, however in terms of value for money they have not been as we still had to pay full fees when there was no lectures.'}",rat4,,rat3,,rat5,,rat3,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Elle,10 Apr 21,Philosophy and Theology MA (Hons),rat1,"{'Tell us about your overall university experience so far.': 'terrible, I had to move home because it put me in such a bad mental state I need to support from my family. I regret going to this university and wish I had reapplied somewhere else.'}",rat2,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'nothing personalised only random emails are irrelevant to my course'}",rat2,{'How many contact hours per week do you have?': '3'},rat1,"{""How good are your university's facilities?"": 'i’ve been unable to access any kind of facilities whatsoever due to Covid, the University wasted a large portion of money making a café in the centre of town that nobody uses and everybody hates'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'student support and counselling are pretty good however personal tutor support has been incredibly minimal.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Rebecca,07 Apr 21,Biomedical Sciences (Life Sciences) MScR,rat4,{'Tell us about your overall university experience so far.': 'This year has been very different due to Covid (as can be expected) but this definitely had an impact on how much I enjoyed the course. Due to working remotely the only real contact we had was with our project supervisor and this was limited. I think if this was any other year in which we were allowed access to labs then it would be a very different story and an enjoyable course'},rat4,,rat4,{'How many contact hours per week do you have?': '3'},rat5,,rat3,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Charlotte,04 Apr 21,Civil Engineering BEng (Hons),rat3,{'Tell us about your overall university experience so far.': 'Some subjects have been really good and helpful and very understanding of my mother being ill and death of a friend with some helpful counselling sessions and support on assignments when i havent felt up to completing them'},rat4,,rat4,{'How many contact hours per week do you have?': '8'},rat5,"{""How good are your university's facilities?"": 'clean and good equipment'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'mental health support was very good as well as support on work if you are struggling'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Jenny,02 Apr 21,PGDE English (Graduates only) Professional Graduate Diploma,rat4,"{'Tell us about your overall university experience so far.': 'Even though we are in the middle of a pandemic and so are learning online, my tutors have been incredibly supportive. I feel they have genuinely tried their best to help us get the most out of this year despite the unprecedented circumstances.'}",rat5,,rat4,,rat4,,rat5,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Ruairidh,02 Apr 21,Neuroscience BSc (Hons),rat4,{'Tell us about your overall university experience so far.': 'Overall experience this year had been pretty good considering we have been left with only online lectures and seminars could have been better if there was more interaction between the lecturers and the students'},rat4,,rat4,{'How many contact hours per week do you have?': '120'},rat4,,rat4,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Celine,01 Apr 21,Medical Sciences BSc (Hons),rat5,"{'Tell us about your overall university experience so far.': 'Overall I am very happy with my experience here. So much so that i want to come back to do a Masters by Research next year. The staff have been really supportive and have tried their best throughout the pandemic. We only had very little contact hours since the pandemic which was a downside, but i think staff wanted to make sure everyone had equal access to the content, no matter what country or timezone they were in. The dissertation is the main focus of this year and so far I have thoroughly enjoyed it. we were given a large list of potential options accommodating many interests and preferred project styles. My supervisor has been extremely helpful and motivating. Even outwith the general dissertation discussions, he has given me an insight into postgraduate options which I am now trying to persue. I have managed to keep in touch with a lot of friends even throughout the pandemic. The university societies have tried to encourage this by arranging online social such as breakout rooms and online quizzes to prevent people from feeling alone during these challenging times.'}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Careers service is really helpful. Insights week was very good to get an idea of graduate options'}",rat5,{'How many contact hours per week do you have?': '3'},rat4,"{""How good are your university's facilities?"": 'Clean, spacious, plenty options to go to'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'I haven’t used these services and have heard both good and bad things about them'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Rebecca,01 Apr 21,Biomedical Sciences (Life Sciences) MScR,rat4,"{'Tell us about your overall university experience so far.': 'This year has been a strange year due to the pandemic which has limited the amount of experience we were able to gain from the first 6 months of the degree. The next 6 months are looking brighter and I truly believe that if I had done this course a year later a lot would have changed. The university is great, the location is lovely, the people are friendly and the lecturers are super helpful.'}",rat5,,rat5,{'How many contact hours per week do you have?': '2'},rat5,,rat4,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Fiona,26 Mar 21,Professional Legal Practice Diploma,rat3,{'Tell us about your overall university experience so far.': 'Very different from expected because of the pandemic but that was out of everyone’s control. Grateful for having some in person teaching as I know so many people didn’t get that opportunity.'},rat2,,rat3,,rat4,,rat2,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
antony,19 Mar 21,History MA (Hons),rat5,"{'Tell us about your overall university experience so far.': 'very happy with my choice, it is a brilliant university in an incredible city. the atmosphere is just lovely and it has been really great to explore the city. the academics are also excellent and the university provides us with anything we need'}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'really helping us'}",rat5,{'How many contact hours per week do you have?': '8'},rat5,"{""How good are your university's facilities?"": 'everything we need'}",rat5,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'so good'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Alex,16 Feb 21,Law (Graduate Entry) LLB,rat1,"{'Tell us about your overall university experience so far.': 'I have met some amazing people here. However, that is probably my only positive outcome. The University itself I could not recommend on any front. If you can choose to go somewhere else I would suggest you do.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'The careers service are pretty good at trying to create opportunities through seminars and one-on-one meetings.'}",rat2,{'How many contact hours per week do you have?': '3'},rat1,"{""How good are your university's facilities?"": 'The library is murder trying to get a seat, and lecture theatres are camped and out dated.'}",rat1,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'The support is shocking and any complaints raised are batted away if they are even responded to at all. If you are looking for a hands off University this is the perfect one. However, as soon as you have a query or a worry about anything from academic marks to mental health, the University does not want to know you.'}",,,rat1,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'Same as the University itself, the SU purports to help but no change is ever actually brought about.'}",rat3,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'The flats in Edinburgh are beautiful, but the hunt for one is difficult as landlords and letting agents with pit students against each other to raise prices. The price of rent has gone up by over £250 a month in my time here.'}",rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Everything is close by no matter where you live. The public transport around the city is really great also.'},non_app,
