score_OVERALL UNIVERSITY RATING,score_Job Prospects,score_Course and Lecturers,score_Uni Facilities,score_Student Support,score_Do you think your time at university this year has been value for money?,score_Students' Union,score_Accommodation,score_Local life,score_Societies and Sports,name,date,degree,reviews
rat4,rat3,rat4,rat4,rat2,ratY,,,,,Rose,26 May 21,Sociology MA (Hons)," Given the circumstances, I would say I have had a great experience in my first year. I lived in halls which meant I was able to meet some people and be involved in the Edinburgh community. I think the university’s ability to teach online also increased throughout the year. In semester 1 it was quite disappointing and there were a lot of problems across all 3 of my courses, but by semester 2 this has massively improved and I felt I was benefiting from good quality teaching 3 I didn’t have much access to them, but the library spaces were all great. They adapted well to COVID and turned a lot of classroom buildings into extra library space which could all be booked through an app I was very lucky to have a great personal tutor/academic advisor who was super helpful. I worked with the student counselling service in semester one and they were not great, the counsellor made me feel uncomfortable and the wait times were bad. I also caught covid in this time so had to reschedule some appts which was hard to do Yes"
rat3,rat2,rat4,rat2,rat4,ratN,,,,,daniel,26 May 21,Fine Art MA (Hons)," Without being able to use facilities in person, and with technical hikups and poor planning especially at the start of the year (the first few weeks of semester one, tutors seemed to be making it up as they whent along, with projects being incredibly poorly planned) - although tutor support improved towards the end of semester one, it boils down to this. Should a student be relatively self motivated - their was nothing that UoE or ECA provided that the student could not have done themselves (on the fine art course). Art History was much better, with pre-recorded lectures and tutorials being easily accessible and effective as learning tools. A mixed experience. Only in the first year of a five year degree, so No Comment really, we've had guest speakers in and a little info if you ask tutors but that's all do far 3 The facilities themselves seemed very adequate, and had plenty of equipment for students to make use of, however accessibility was a huge issue. I don't feel like I can comment particularly on this. We constantly recurved mental health check-up emails, and acsess to disability services was pretty easy - although I'm aware that some people where not made aware of what support was actually available to them. No"
rat2,rat3,rat2,rat2,rat1,ratN,,,,,Sumaya,26 May 21,Film and Television BA (Hons)," Due to the limitations of covid being the only experience of university, I don’t doubt that my answers are effected drastically. In all honesty, I’ve managed to scrape passes and do the bare minimum. The support systems from the university , or lack thereof, have been few and far between. The course content has been good and I’ve enjoyed the writing. Practical bits and bobs have obviously been almost impossible I started in second year so have not had the opportunity to fully utilise the resources due to covid No"
rat4,rat4,rat3,rat4,rat4,ratY,,,,,Ciar,26 May 21,Philosophy and Politics MA (Hons)," I am still glad I started studying this year regardless of it being online. I have still met some great people through staying at university accomodation and would not trade tha. Fully online. 1 hour tutor session per week, per subject run online along with pre recorded lectures for subject Yes"
rat4,rat4,rat4,rat5,rat5,ratY,,,,,Sophie,26 May 21,Classics MA (Hons)," Didn't love COVID but love my uni. My professors were excellent and passionate, always there to help. They have been really supportive this year during the pandemic. Loads of careers fairs so far and I'm only in year one 10 Good gym and library and good access to online resources Yes"
rat3,rat3,rat4,rat5,rat3,ratY,,,,,Gemma,26 May 21,Social Work BSc (Hons)," During lockdown I feel the standard of learning has dropped significantly. It is difficult to get good marks as nearly no classes are attendance based therefore you don’t even need to show up. If more classes were more interactive then my learning experience would have been a lot better. Currently fully online Facilities are great, just wish there was more spaces for individual study Mental health support is alright but it’s difficult during the pandemic as there isn’t much help available that isn’t through zoom Yes"
rat5,rat5,rat5,rat5,rat3,ratY,,,,,Gertie,25 May 21,Veterinary Medicine BVMS," Fantastic . I loved almost every second of it. No regrets . If come back here time and time again. I pinch myself at how lucky I am to have had this incredible opportunity to learn on this course in this university. We are taught to a remarkably high standard. Very grateful I could walk into 500 hundred jobs. It’s amazing. And there are good career services Lots of contact hours. Lots of really incredible practical classes. Clinicians really want to teach and are very kind. You are very anonymous up until final year (even then...) there is mostly very bog group teaching, so it really isn’t until clinical rotations in the hospital that you get one on one time with clinicians Unbelievable facilities. The models used for us to practice clinical skills on are seriously pricey. No expense is spared. And there are so many kind owners who donate their deceased pets’ bodies for our clinica teaching. There are amazing resources at our disposal throughout the degree It’s alright. I think mental health support could be better. And it has gotten better since I started out. Luckily I have never had to use such facilities but I really don’t think they really understand or fully respect young people’s problems Yes"
rat4,rat4,rat4,rat4,rat2,ratY,,,,,Hannah,25 May 21,Biomedical Sciences BSc (Hons)," Considering the circumstances I have enjoyed my year at University. It has caused my curiosity for science to grow and we have covered a large range of topics, many of which were informative and interesting. There are many enthusiastic lecturers who make learning fun. I have become good friends with my flatmates and also managed to meet a few people from my course too through group work and personal tutor. I look forward to a more conventional university experience in years to come and am excited to learn more about biomedical science. We have been contacted regularly by the careers service and hopefully this is something that will be easier to be involved in once in-person sessions can resume. We had a couple of guest speakers and interesting debates that were outwith the course requirements but related to the current science world. 3 Although I only lived in halls for 3 months, I had a positive experience. The room I was assigned to was spacious and had all the furniture I needed. The communal kitchen was on the small side for 5 people and we ran into some difficulties as we only had one small fridge freezer between us and no couch, so any socialising had to be done around the kitchen table. The cleaning service was good and if we needed repairs in the flat, someone would be sent quickly. The tutorial groups were great as they allowed us to create a bond with the tutor, which was nice as we had no in-person teaching. Some course organisers were better than others at providing mental health support, although on a university level I am unsure of the services available to me. I think this is something that could be advertised more within the university as it could help more people if it was made more accessible. I can't comment on the disability support as this does not apply to me. Yes"
rat3,rat2,rat4,rat4,rat2,ratN,,,,,katie,25 May 21,Geography MA (Hons)," Although content given is of a very high standard, the overall mental health support is very poor. Students are left to fend for themselves with counselling waitlists often 2 months long. 9 No"
rat3,rat5,rat4,rat5,rat5,ratN,,,,,Nya,25 May 21,Scottish Literature and Classics MA (Hons)," My overall experience:
UofE has provided excellent mental health support, but they could be doing so much more to ensure classes are face to face. Accommodation prices should have been slashed long ago, as well as tuition fees for most people. Instead of spending money on useless outdoor temporary buildings they should be supporting their students in their educational journey. 8 No"
rat3,rat4,rat3,rat5,rat4,ratN,,,,,Solomon,25 May 21,Politics MA (Hons)," The University has failed to adequately adapt to the COVID-19 pandemic. There were major issues with accessibility to teaching due to poor broadband in halls and with isolation policies (leading to the Sports Union stepping in to deliver meals). Whilst these issues were mostly resolved in Semester 2, we were promised a hybrid learning model, which has still failed to materialise. I would not have moved to Edinburgh if I had known the university would provide the year it has. 4 All University of Edinburgh facilities (social and academic) are clean and easily accessible and are of good quality. Counselling is easily accessible via the university, whilst it can be difficult to find some support groups (such as LGBT+ ones) they are there. Accommodation sites have some of their own support structures, as do schools and colleges and the university itself. No"
rat5,rat4,rat5,rat5,rat5,ratY,,,,,Emma,11 May 21,Psychology BSc (Hons)," Love this uni, it’s beautiful with caring staff and constant support. Only thing that would be better is if the course was more interactive so students living at home can make more friends in their course. There are career opportunity days you can go to and you learn about so many areas of life that your interests expand and consequently as do your career ideas 10 Very beautiful buildings which are well looked after. Loads of places you can study at and the library is very big and relaxing. Amazing student support, there’s nightlines if you’re feeling down and personal tutors are understanding and helpful. Yes"
rat2,rat2,rat4,rat4,rat4,ratN,,,,,Anais,06 May 21,Japanese MA (Hons)," I think every university experience this year has unfortunately been poor in comparison to previous years. Online classes have been isolating and my metal health has been affected as a result. I also have much less contact hours a week, and I am extremely concerned about the cancellation of my year aboard and the ramification it will have on my language level when I graduate. I have not really received any guidance but there are open days and career councillors if needed 10 The university of Edinburgh has very accessible libraries, gyms, social areas and cafes which are all central to campus The university of Edinburgh offers free counselling to those who need it, they diagnose disabilities such as ASD for free and offer a lot of support and adjustments to accommodate them No"
rat2,rat3,rat2,rat4,rat3,ratN,,,,,Freya,26 Apr 21,Environmental Geoscience BSc (Hons), Bit of a joke really. It's felt like an excuse for some lecturers to just do nothing - although some have made good efforts to make the course as enjoyable as possible. It depends on which modules you take There are jobs fairs and online opportunities 0 The library is good and is still open You can contact your tutor for help but I've heard bad things about the councilling service No
rat3,rat4,rat3,rat5,rat4,ratY,,,,,Jack,14 Apr 21,Mechanical Engineering MEng (Hons)," I have not gone back to the University of Edinburgh since Christmas, and have been home since then. This is very frustrating and annoying from my perspective indeed. 7 Very good but I have barely seen it Yes"
rat2,rat4,rat4,rat5,rat2,ratN,,,,,Abby,11 Apr 21,Doctor of Veterinary Medicine DVetMed," Clinicians and people lecturers are very helpful and supportive. They clearly care about us students. Upper management does not seem to care about student feelings or experience. When talking to lower years they only tell them the positive feedback and ignore the negative, showing they don’t care and/or listen. Our year is expected to accept anything that is done (or not done) and get on with it. There is no explanations given when deadlines aren’t met on the part of the university and little consideration seems to be given for us. A real shame, given how wonderful the teaching staff are. 16 No"
rat4,rat4,rat3,rat5,rat3,ratN,,,,,Nicholas,11 Apr 21,Economics MA (Hons)," This year has been challenging for everyone, but especially for Uni students. UoE has been good and supporting their students during these tough times, however in terms of value for money they have not been as we still had to pay full fees when there was no lectures. No"
rat1,rat2,rat2,rat1,rat3,ratN,,,,,Elle,10 Apr 21,Philosophy and Theology MA (Hons)," terrible, I had to move home because it put me in such a bad mental state I need to support from my family. I regret going to this university and wish I had reapplied somewhere else. nothing personalised only random emails are irrelevant to my course 3 i’ve been unable to access any kind of facilities whatsoever due to Covid, the University wasted a large portion of money making a café in the centre of town that nobody uses and everybody hates student support and counselling are pretty good however personal tutor support has been incredibly minimal. No"
rat4,rat4,rat4,rat5,rat3,ratN,,,,,Rebecca,07 Apr 21,Biomedical Sciences (Life Sciences) MScR, This year has been very different due to Covid (as can be expected) but this definitely had an impact on how much I enjoyed the course. Due to working remotely the only real contact we had was with our project supervisor and this was limited. I think if this was any other year in which we were allowed access to labs then it would be a very different story and an enjoyable course 3 No
rat3,rat4,rat4,rat5,rat4,ratN,,,,,Charlotte,04 Apr 21,Civil Engineering BEng (Hons), Some subjects have been really good and helpful and very understanding of my mother being ill and death of a friend with some helpful counselling sessions and support on assignments when i havent felt up to completing them 8 clean and good equipment mental health support was very good as well as support on work if you are struggling No
rat4,rat5,rat4,rat4,rat5,ratY,,,,,Jenny,02 Apr 21,PGDE English (Graduates only) Professional Graduate Diploma," Even though we are in the middle of a pandemic and so are learning online, my tutors have been incredibly supportive. I feel they have genuinely tried their best to help us get the most out of this year despite the unprecedented circumstances. Yes"
rat4,rat4,rat4,rat4,rat4,ratY,,,,,Ruairidh,02 Apr 21,Neuroscience BSc (Hons), Overall experience this year had been pretty good considering we have been left with only online lectures and seminars could have been better if there was more interaction between the lecturers and the students 120 Yes
rat5,rat5,rat5,rat4,rat4,ratY,,,,,Celine,01 Apr 21,Medical Sciences BSc (Hons)," Overall I am very happy with my experience here. So much so that i want to come back to do a Masters by Research next year. The staff have been really supportive and have tried their best throughout the pandemic. We only had very little contact hours since the pandemic which was a downside, but i think staff wanted to make sure everyone had equal access to the content, no matter what country or timezone they were in. The dissertation is the main focus of this year and so far I have thoroughly enjoyed it. we were given a large list of potential options accommodating many interests and preferred project styles. My supervisor has been extremely helpful and motivating. Even outwith the general dissertation discussions, he has given me an insight into postgraduate options which I am now trying to persue. I have managed to keep in touch with a lot of friends even throughout the pandemic. The university societies have tried to encourage this by arranging online social such as breakout rooms and online quizzes to prevent people from feeling alone during these challenging times. Careers service is really helpful. Insights week was very good to get an idea of graduate options 3 Clean, spacious, plenty options to go to I haven’t used these services and have heard both good and bad things about them Yes"
rat4,rat5,rat5,rat5,rat4,ratN,,,,,Rebecca,01 Apr 21,Biomedical Sciences (Life Sciences) MScR," This year has been a strange year due to the pandemic which has limited the amount of experience we were able to gain from the first 6 months of the degree. The next 6 months are looking brighter and I truly believe that if I had done this course a year later a lot would have changed. The university is great, the location is lovely, the people are friendly and the lecturers are super helpful. 2 No"
rat3,rat2,rat3,rat4,rat2,ratN,,,,,Fiona,26 Mar 21,Professional Legal Practice Diploma, Very different from expected because of the pandemic but that was out of everyone’s control. Grateful for having some in person teaching as I know so many people didn’t get that opportunity. No
rat5,rat5,rat5,rat5,rat5,ratY,,,,,antony,19 Mar 21,History MA (Hons)," very happy with my choice, it is a brilliant university in an incredible city. the atmosphere is just lovely and it has been really great to explore the city. the academics are also excellent and the university provides us with anything we need really helping us 8 everything we need so good Yes"
rat1,rat4,rat2,rat1,rat1,,rat1,rat3,rat5,non_app,Alex,16 Feb 21,Law (Graduate Entry) LLB," I have met some amazing people here. However, that is probably my only positive outcome. The University itself I could not recommend on any front. If you can choose to go somewhere else I would suggest you do. The careers service are pretty good at trying to create opportunities through seminars and one-on-one meetings. 3 The library is murder trying to get a seat, and lecture theatres are camped and out dated. The support is shocking and any complaints raised are batted away if they are even responded to at all. If you are looking for a hands off University this is the perfect one. However, as soon as you have a query or a worry about anything from academic marks to mental health, the University does not want to know you. Same as the University itself, the SU purports to help but no change is ever actually brought about. The flats in Edinburgh are beautiful, but the hunt for one is difficult as landlords and letting agents with pit students against each other to raise prices. The price of rent has gone up by over £250 a month in my time here. Everything is close by no matter where you live. The public transport around the city is really great also."
rat1,rat1,rat1,rat1,rat1,,rat1,rat4,rat4,rat4,M,21 Sep 20,Animation BA (Hons)," I am ashamed of my time there. I regret choosing the university and I will be paying off the debt for most of my life despite not being given anything that was advertised upon application. they didn't 1 our studio didn't have heat and was freezing cold during the winter. Most facilities were still in storage after a studio move at the start of my time there. There was never enough computers, spaces, equipment for all students and it led to many students not being able to follow the paths they wished to take very poor. It was very rare to find the tutors on campus and after spending most of the first year making attempts to ask for lessons and to see tutors in order to be taught, we eventually all gave up as complaints were never seen through by the university bad Prices in Edinburgh can be very high. yes Didn't take part"
rat2,rat2,rat5,rat2,rat4,,non_app,,rat3,rat3,Helene,09 Jun 20,PGDE German (Graduates only) Professional Graduate Diploma," Your job prospects depend severely on your location and willingness to move. I had mentors living in Midlothian who were commuting all the way to West Lothian. They were teaching a subject in high demand but could not find a job within reasonable commuting distance. One of them needed to drive 140 min every day. Additionally, if your subject is quite niche (Modern Foreign Languages, Music, Latin, even Physics), you may be the one person who does not get a placement. I was stuck home twice and missed out on 3 weeks of placements (of 12 in total!) because the university could not organise a placement for me. Additionally, the university does not provide support when bullying in schools takes place. Mentors can be harsh and are not monitored at all. Racism in school is often ignored by the mentors. Placements are planned by the university, but some subjects (especially mine) were struggling to find placements. The potential issues and prospects for future employment were not communicated during the initial interview. Please do your research before you accept a place. The market for teachers is not as bright as the university makes it out to be. Be prepared to commute up to 180 min per day and accept that you may have to move once your studies are finished. 12 Very outdated, buildings from the 70s. The university offers a lot of support and is considerate. However, I had one issue where I felt I was not heard at all and I wish my situation had been dealt with differently. Moray House is off-campus and it takes about 10-15 minutes to walk to the main campus of the University of Edinburgh. There is one big coffee shop right around the corner, but if you are looking for restaurants, you have to walk."
rat5,rat5,rat4,rat5,rat5,,rat4,,rat5,rat4,Yalan,19 Feb 20,," the academic environment is the best! use the library resources wisely and you'll gain a lot! besides studies, do join some student societies which would be great fun! personally i highly recommend harry potter society and theatre/drama societies. outside uni, explore the city, because you can go to all tourist attractions on foot! it is a historical city with traditional architecture, but you could also enjoy modern theatrical arts especially in summer holiday (Edinburgh international festival and fringe festival). yes, it's in city centre, and all the accommodations are within 15 mins walking distance."
rat4,rat3,rat4,rat3,rat4,,rat5,,rat5,rat5,Anonymous,29 Jan 20,, Not used much Law school -PhD offices difficult to work in Sometimes more lip service than helpful when it really comes down to it
rat4,rat5,rat4,rat4,rat5,,rat2,rat5,rat5,rat5,Ally,29 Jan 20,PGDE Primary (Graduates only) Professional Graduate Diploma, Placements 3 Our society has had numerous problems with EUSA's booking
rat4,rat4,rat5,rat4,rat4,,rat3,rat4,rat3,rat3,Tian,29 Jan 20,Ancient History MA (Hons)," Good Good Generally ok. I was worrying about those tap water it keeps flowing Staff are nice I don't know fine I am ok with that, I can walk long distance Once a week"
rat4,rat2,rat3,rat4,rat2,,rat4,rat3,rat3,rat2,Harriet,29 Jan 20,Geography MA (Hons), Change from school life but overall enjoyable 12 very expensive
rat4,rat4,rat3,rat4,rat2,,rat4,rat5,rat4,rat4,Finella,29 Jan 20,Ancient History MA (Hons), 4 Counselling lists are very long + personal tutors system not very effective More facilities would be good- the present ones are very crowded. More variety also
rat4,rat4,rat4,rat5,rat4,,rat4,rat3,rat5,rat4,Pau,29 Jan 20,Economics with Environmental Studies MA (Hons), 10
rat5,rat5,rat5,rat5,rat5,,rat3,rat5,rat4,rat5,Tai,29 Jan 20,Archaeology and Social Anthropology MA (Hons), It has been great so far Not sure- I know nothing about the student union
rat5,rat3,rat3,rat5,rat3,,rat3,rat5,rat5,rat5,Anastasia,29 Jan 20,International Business with Russian MA (Hons), I have not explored this area yet Not sure
rat5,rat3,rat5,rat5,rat4,,rat3,rat4,rat5,rat4,Catherine,29 Jan 20,French and Business MA (Hons), Extremely positive 14 Nothing I haven't needed Good academic support Great student union really great if not bit expensive Yes and good and good amenities at town Haven't joined any
rat4,rat4,rat4,rat4,rat4,,rat4,rat4,rat4,rat4,Rob,29 Jan 20,Mathematics BSc (Hons), very good good careers 25 very good good help good GOOD yes good range
rat3,rat4,rat4,rat5,rat4,,rat4,rat4,rat4,rat4,Maha,29 Jan 20,Law and Sociology LLB (Hons), Send emails very good
rat5,rat5,rat4,rat3,rat4,,rat4,rat3,rat5,rat3,Jessica,29 Jan 20,, I've only been here 2 weeks super
rat4,rat2,rat4,rat5,rat2,,rat3,,rat4,rat5,Anonymous,29 Jan 20,Economics MA (Hons), Satisfactory 12 Not the best Everything within walking distance
rat4,rat5,rat4,rat4,rat3,,rat4,rat5,rat5,rat4,Shawney,29 Jan 20,Law LLB (Hons), own flat
rat2,rat2,rat2,rat3,rat3,,rat4,rat2,rat5,rat5,Dylan,29 Jan 20,Economics MA (Hons)," Lonely, depressing, hard work, exhausting, alienating, difficult, time consuming incredibly expensive"
rat4,rat4,rat4,rat5,rat5,,rat5,rat4,rat5,rat3,Ziqi,29 Jan 20,Law and International Relations LLB (Hons), Its great Great Great Great its fine Yeah Great
rat4,rat4,rat4,rat4,rat4,,rat4,rat3,rat5,rat4,Tully,29 Jan 20,Cognitive Science BSc (Hons), Carers hub is good GOOD
rat5,rat3,rat4,rat4,rat3,,rat4,rat4,rat5,rat5,Katarina,29 Jan 20,Geography BSc (Hons), Could be more helpful - offer more support Female toilets could be cleaner/more access to pads/tampons in each one Individual support could be useful Advice place is really useful to have. Facilities e.g. Teriot could be improved e.g. nicer/warmer toilets BIT EXPENSIVE
rat4,rat5,rat4,rat3,rat4,,rat3,,rat4,rat4,Anonymous,29 Jan 20,History of Art MA (Hons)," It's been good Lots of fairs and opportunities for jobs and internships 10 Mixture between new and old facilities. Library needs updating and need more areas to study as they are always full Personal tutors are incredible helpful Decent facilities University is surrounded by cafes, restaurants and supermarkets. Just a little far from accommodation Good variety of societies/sports"
rat4,rat4,rat5,rat4,rat3,,rat2,rat4,rat4,rat5,R,29 Jan 20,Linguistics and English Language MA (Hons)," Would recommend Careers service is amazing. Other stuff is non existent though Pretty good but too many students are admitted - overcrowded Counselling is terrible. Academic help is super dependent on the school -mine is great They're useless and obnoxious especially the full time staff HARD TO FIND DESCENT FLATS AND EXPENSIVE Good location, but there isn't that much to do in Edinburgh Amazing"
rat5,rat5,rat4,rat4,rat5,,rat5,,rat4,rat5,Anonymous,29 Jan 20,History MA (Hons)," It's been good so far, I've met a lot of new people and made friendships. My courses have been interesting and useful There's mycareer hub where I can look for jobs and there's a career service Some of them are in a bit bad condition e.g. desks and lecture theatres You can talk to your personal tutor anytime you want to and there's also counselling My accommodation is a bit far from uni but otherwise the uni is close to everything in town There's a gym which is often used, also a number of other sport activities offered"
rat4,rat4,rat4,rat4,rat3,,rat4,rat4,rat4,rat5,Morag,29 Jan 20,Law LLB (Hons), There quite a lot of careers fairs ACCOMODATION COULD BE CLOSER There is a wide range
rat3,rat4,rat4,rat4,rat5,,non_app,rat5,rat3,rat5,Matt,29 Jan 20,Politics MA (Hons), should be ok Dank bro Tasty I've never been I only like drum and bass Long old trek I love football
rat3,rat3,rat3,rat2,rat3,,rat4,rat4,rat5,rat4,Isha,29 Jan 20,Arabic and Economics MA (Hons)," GOOD SAFETY CONDITIONS, COSTLY Yes"
rat3,rat1,rat3,rat3,rat3,,rat2,rat3,rat3,rat3,Paulette,29 Jan 20,Law LLB (Hons), its safe and clean but far from uni and EURO 650 not worth for room and shared bathroom n/a never tried them
rat4,rat4,rat3,rat5,rat2,,rat3,rat2,rat4,rat4,Izabela,29 Jan 20,Psychology BSc (Hons)," Counselling is not very accessible and the form you have to fill out makes you feel worse EXPENSIVE, NOISY"
rat5,rat5,rat5,rat4,rat4,,rat4,rat2,rat5,rat5,Aidan,29 Jan 20,Japanese and Linguistics MA (Hons)," Amazing university. Helped many of my dreams and goals and I'm only in 2nd year Good careers service and volunteering opportunities 10 Very well funded but crowded Quick and efficient support Good facilities and regular contact safety clean but too expensive Many nearby amenities and great location Something for everyone, very diverse"
rat3,rat2,rat3,rat3,rat4,,rat4,rat3,rat5,rat5,Sheena,29 Jan 20,Fine Art MA (Hons)," Had the worst times of my life but also some very good ones, definitely all up to what you get out of it yourself Student counselling is good expensive but nice"
rat5,rat5,rat5,rat5,rat2,,rat2,rat4,rat5,rat2,Joan,29 Jan 20,Law LLB (Hons), Really fun
rat4,rat5,rat4,rat4,rat5,,rat4,rat4,rat5,rat5,Nurhidayah,29 Jan 20,Accounting and Finance MA (Hons)," Offer CV services, send newsletter for new info/updates on certain employers, opportunities etc"
rat3,rat2,rat3,rat3,rat1,,rat3,rat3,rat3,rat4,Fanni,29 Jan 20,Sociology MA (Hons)," It gives me a degree so it's probably worth my time Few events, but those are not too useful My PT is very helpful but the exam and essay feedback is too short great accomodation however its too cold and bit expensive 20-25 minutes walk, not too bad Lots of societies for every interest"
rat4,rat3,rat4,rat5,rat1,,rat4,rat4,rat5,rat5,Phoebe,29 Jan 20,French and Spanish MA (Hons), More student activities EXPENSIVE
rat5,rat5,rat5,rat4,rat5,,rat5,,rat3,rat5,Chloe,29 Jan 20,Social Work BSc (Hons)," Very supportive and stimulating environment to be in. There is always access to a variety of exciting opportunities to develop your personal and professional skills Placements within our course is fantastic and I have learnt a lot Great support networks! There is always someone you can go to for support Lots of opportunities to represent students and those who do it, do it really well Travel by train as I don't live in Edinburgh"
rat4,rat4,rat3,rat3,rat3,,rat4,,rat5,rat3,Anonymous,29 Jan 20,Law LLB (Hons)," People are awesome, adjustment at the start was hard Employers like the uni 14 Never seats in the library after 8:30 am during exams Lot of time for results my PP is good though"
rat4,rat2,rat3,rat2,rat2,,rat3,rat4,rat5,rat3,Orla,29 Jan 20,Law LLB (Hons), 14 Never any seats in the library
