name,date,degree,score_OVERALL UNIVERSITY RATING,OVERALL UNIVERSITY RATING,score_Job Prospects,Job Prospects,score_Course and Lecturers,Course and Lecturers,score_Uni Facilities,Uni Facilities,score_Student Support,Student Support,score_Do you think your time at university this year has been value for money?,Do you think your time at university this year has been value for money?,score_Students' Union,Students' Union,score_Accommodation,Accommodation,score_Local life,Local life,score_Societies and Sports,Societies and Sports
Paulomi,26 May 21,Civil Engineering MEng (Hons),rat1,{'Tell us about your overall university experience so far.': 'This year I gave a very low rating because of coronavirus. I felt the level of teaching was nowhere near what it needed to be especially in a practical subject such as engineering. I felt unprepared especially after an online term 3 last year and my mental health definitely suffered at various points throughout the year. I felt that the overall experience was not indicative of the £9250 spent towards it not even including living costs.'},rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'School of engineering specific is very good with a placement officer. Not sure about rest of the university'}",rat4,{'How many contact hours per week do you have?': '20'},rat5,,rat2,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'They are available but many feel they are more for university quotas than helping students.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Lucy,26 May 21,Hispanic Studies and French BA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'Having been online, the university experience was very isolating. However, my department offered lots of support and events which I found really beneficial. Also, despite not having access to the library since I was working away from campus, there was still lots of online resources which I found very useful.'}",rat3,,rat4,{'How many contact hours per week do you have?': '8'},rat4,,rat3,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Meera,26 May 21,History BA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'I think in certain areas Warwick are very good - eg their careers services. But other areas they fall down on. They claim to champion well-being, but I don’t think many people (especially first years) know all the avenues available to them, and I know some people who have had terrible experiences going to these services. They also routinely fail to listen to the student body, ignoring many protests and votes. My experience this year hasn’t been great, but that’s mainly due to the pandemic and not being able to go out, which isn’t the uni’s fault.'}",rat5,,rat3,{'How many contact hours per week do you have?': '6'},rat4,,rat3,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Violette,26 May 21,Film Studies BA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'I really enjoyed my time on campus, and even being online at home.\nWarwick is an amazing university, the campus is lovely and the Film course is incredible.\nHowever, the university has to improve its wellbeing services and has to revise it’s policies concerning security on campus and establish a zero-tolerance policy regarding sexual harassment and assault. This concerns a lot of universities and is not being talked about enough. Being a woman, I deserve the right to feel safe on my campus. \nMoreover, I think the university could have offered more than a rent waiver in regards to the covid situation and the numerous opportunities we didn’t get this year.'}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'The university sends invites to forums and links to webpages every week. However, as I am in first year I wouldn’t know too much about this.'}",rat5,{'How many contact hours per week do you have?': '5'},rat4,"{""How good are your university's facilities?"": 'The facilities are overall very nice and clean.'}",rat2,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Wellbeing services are overwhelmed and probably understaffed as the access to in-person or one-on-one meetings is incredibly limited. There is a month-long waitlist (at least) for any appointment which is considerably too much.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Lauren,25 May 21,French Studies BA (Hons),rat4,{'Tell us about your overall university experience so far.': 'Overall my experience has been good. I received personal and mental health support when I needed it. My course has been well taught and I have lecturers who actually care'},rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I have had emails about jobs, invited to seminars and used the careers services'}",rat4,{'How many contact hours per week do you have?': '9'},rat4,"{""How good are your university's facilities?"": 'Facilities are good but more study space is always needed'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Mental health support has always been accessible'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
T,25 May 21,"Philosophy, Politics and Economics (PPE) BA (Hons)/BSc (Hons)",rat3,"{'Tell us about your overall university experience so far.': 'It was a mixed bag year, to say the least. I think the pandemic took away a lot, while adding an additional burden in terms of mental stress and inability to offload that. Had the opportunity to engage with some stimulating academic content, nonetheless, and developed a closer bond with my housemates.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'The university is great for job prospects; there are resources available from societies as well as the university’s careers service.'}",rat4,{'How many contact hours per week do you have?': '12'},rat4,"{""How good are your university's facilities?"": 'Facilities are really good, in terms of availability (even now with Covid) and in terms of study spaces. Can’t say how undergrad accommodation on campus is right now, but I liked living on campus in first year.'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'I have not heard great things about the university’s mental health services, although I do know they have taken steps to make it more available to all. I do think there are arrangements made for people with disabilities, but I cannot fully comment on the nature/quality of the same.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Jaime,25 May 21,"Mathematics, Operational Research, Statistics and Economics (MORSE) MMorse",rat4,"{'Tell us about your overall university experience so far.': ""Obviously, Covid has limited all kinds of possibilities but, of course, this is not the institution's fault and overall it has been a very fun experience. I would give it five stars but some departments have shown that more in person contact hours were possible and not taken by some departments, which put a strain on our learning and overall experience.""}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I receive university emails about internship fairs and student research programs weekly.'}",rat4,{'How many contact hours per week do you have?': '9'},rat5,"{""How good are your university's facilities?"": 'I have been amazed by the facilities at Warwick, truly. When I arrived on campus I wandered around it for days.'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'As far as my needs have gone, there has been a support office available for all of them. However, they have sometimes been somewhat slow to respond.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Lucy,10 May 21,History and Politics BA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'This academic year has obviously been somewhat challenging due to the ongoing situation. However I have really enjoyed all my seminars this year, and have felt supported most of the time.'}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Career support is excellent at Warwick.'}",rat4,{'How many contact hours per week do you have?': '8'},rat5,"{""How good are your university's facilities?"": 'The majority of facilities are modern and put together. The university is currently building a new humanities building ready for this September, which will be a great facility for students.'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'The support offered is pretty good, but I would say there are definitely a few underfunding issues in terms of mental health support.'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Max,09 May 21,Cyber Security BSc (Hons),rat4,{'Tell us about your overall university experience so far.': 'I believe that the university is great. Great facilities great gym and a great course. However covid has been a major impact to all students whilst studying at university not just Warwick'},rat5,,rat4,{'How many contact hours per week do you have?': '1620'},rat5,,rat2,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Bunny,06 May 21,Mathematics and Statistics BSc (Hons),rat4,"{'Tell us about your overall university experience so far.': ""No doubt the pandemic will have had a role in reducing the full range of access to support and facilties from all parts of the University and subsequently reduce this year's university experience especially with the lack of face to face teaching of lectures and seminars, however the ability to interact with personal & course tutors together with the chance of meeting new people and still be able to access the limited range of services was a great experience that I wouldn't change for anything.""}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'They constantly hold career talks and advice and even internship opportunities for all students through out the academic year so that you can be well informed on what you plan on doing next after university.'}",rat4,"{'What do you like most and least about the way your course(s) are taught?': ""The help and the interaction from tutors is satisfactory, but the online format can be difficult and frustrating at times if you don't understand something or need to ask a question.""}",rat4,"{""How good are your university's facilities?"": ""Due to covid we obviously haven't been able to have access to the full range of facilities the university has to offer but the limited range. However this on its own has been useful so I have no doubt that the full range would been even more helpful.""}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""Its hard to quantify this because not everyone has used or accessed these facilties before and its been even harder during covid. So to what extent personal support has been impacted by covid is still yet to be seen, but the help I received was adequate, but it wasn't always easy and sometimes stressful getting the access to those personal support facilities.""}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Marta,01 May 21,Mathematics (MSc),rat3,{'Tell us about your overall university experience so far.': 'Although it is all due to Covid I did struggle to enjoy my time this year. The lecturers were quite drab in my opinion and the night life was appalling but am excited to see how things change next year.'},rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Plenty of societies and work fairs, they are always well advertised and due to a great community of like minded individuals I think the job prospects are excellent.'}",rat4,{'How many contact hours per week do you have?': '19'},rat3,"{""How good are your university's facilities?"": 'Plenty of room across campus however during lockdown the lack of space we were allowed to visit was awful. People were battling for space in small buildings and it was hard to find a place to study away from your own flat.'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Well being groups were a great help to me and it was easy to gain access to mental health support through an online portal. However I had great difficulty withdrawing my housing contract due to mental health as the disability team did not see it extreme enough which caused me great distress and after two months of constant battles and forms I was finally released from my contract. It caused me much more stress than necessary.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Jajeevan,14 Apr 21,Mathematics and Physics BSc (Hons),rat2,{'Tell us about your overall university experience so far.': 'It hasn’t been the best year at university with everything being online. There have been many instances of disorganisation from lecturers or departments which can be frustrating when students are already stressed. I miss learning in person and having proper contact hours. Overall it has been manageable however but very strenuous.'},rat3,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'The support is widely available to people who want it and know where to look. However I still believe the university could take a more active approach.'}",rat4,{'How many contact hours per week do you have?': '2'},rat4,"{""How good are your university's facilities?"": 'Right now only a few learning spaces are open but the equipment and facilities are quite good.'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'There are a lot of options available in terms of support but I believe the university could take a more active role in personal support.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Vihan,14 Apr 21,Physics MPhys,rat4,{'Tell us about your overall university experience so far.': 'The year has been pretty good and been interesting. A lot of time was needed to adjust to the new teaching styles and virtual lectures etc. The uni experience had been very good though the lack of meeting people on your course comes as a struggle for academic support'},rat5,,rat2,{'How many contact hours per week do you have?': '30'},rat3,"{""How good are your university's facilities?"": 'Physics department is restricted at the moment'}",rat4,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Joel,14 Apr 21,Medicine (MD),rat5,"{'Tell us about your overall university experience so far.': 'Good experience on clinical placement. Limited contact time outside of clinical hours, online lectures/seminars don’t feel as though the learning is as fulfilling.'}",rat5,,rat4,{'How many contact hours per week do you have?': '30'},rat4,,rat4,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Sivapriyaa,13 Apr 21,"Mathematics, Operational Research, Statistics, Economics (MORSE) BSc (Hons)",rat4,"{'Tell us about your overall university experience so far.': ""I think it's been hard all around for all universities but Warwick has done a good job given all the online teaching. We actually had some face to face teaching in term 1 which was really enjoyable and the professors and department have been quick to respond to any queries or issues. So, given the circumstances, it has been quite a good year.""}",rat4,,rat4,{'How many contact hours per week do you have?': '18'},rat5,,rat4,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Dannier,13 Apr 21,Engineering (PhD/MPhil),rat5,{'Tell us about your overall university experience so far.': 'Amazing facilities and inspiring lecturers. The induction process was both professional and informative. Everything is top class and couldn’t be happier. An easy recommendation.'},rat5,,rat5,,rat5,,rat5,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Student Reviewer,10 Apr 21,Medicine (MD),rat3,{'Tell us about your overall university experience so far.': 'More challenging due to the limitations imposed by COVID-19. Including online learning and reduced clinical exposure. University have adapted wel but has had significant impact on learning.'},rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Good job Prospects due to the nature of the degree. Poor careers advice team, as although attached to the medical school have little knowledge regarding how individual specialities work post medical school.'}",rat3,{'How many contact hours per week do you have?': '30'},rat4,"{""How good are your university's facilities?"": 'No issues.'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'University has good well-being service however very difficult to get access due to high demand. Disability service are responsive and offer support however some departments are not very accommodating but disability services attempt to educate them to avoid issues.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Olivia,10 Apr 21,Engineering MEng (Hons),rat3,{'Tell us about your overall university experience so far.': 'Online learning has made the course very different from what it was before lockdown; while lecturers and staff try to give as much support as possible it is nowhere near the same as in person teaching. Well-being services at the Uni are not very helpful.'},rat4,,rat4,{'How many contact hours per week do you have?': '10'},rat4,,rat3,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Funmi,09 Apr 21,Politics and International Studies BA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'So far so good, my personal tutor has been so helpful to me this year and I think it has made me feel good about how I’m doing. My seminar tutors have been really supportive and given me helpful feedback to do better. \nWe should pay less this year, we barley had face to face so we didn’t get the full money value'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'I’m still in uni so I don’t have much to say on this, however the Warwick Internship site and even it’s partnership with Unitemp has been so helpful'}",rat5,{'How many contact hours per week do you have?': '10'},rat4,"{""How good are your university's facilities?"": 'They provide a lot of online book, which in this covid time has been really helpful\nI haven’t really explored their other facilities'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'I personally have not had a bad experience , when I thought I was dyslexic they gave me support and when covid hit, the called all students asking how they were mentally etc however recent news will let you know that when it comes to other aspects they are lacking in student support'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Chloe,08 Apr 21,Biological Sciences MBioSci,rat5,"{'Tell us about your overall university experience so far.': 'I have really enjoyed studying here, the staff and students are all great and I wouldn’t have changed my experience. The course was very high quality and the general university experienced has been better than expected.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Good access to internships and job opportunities'}",rat5,{'What do you like most and least about the way your course(s) are taught?': 'Currently taught online due to covid restrictions but during my first and second years the contact hours and quality of teaching were excellent.'},rat5,"{""How good are your university's facilities?"": 'Teaching labs and lecture theatres are great.'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'There is a good well-being service'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Emily,01 Apr 21,Film Studies BA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'Considering the circumstances with COVID, I feel as though my department has fully maximised what can be done to make the experience as beneficial to me as possible. The department is helpful and understanding of everyone’s personal circumstances and has always found a way to help organise something for me (e.g a seminar needing to reallocated) without issue.'}",rat4,,rat4,"{'What do you like most and least about the way your course(s) are taught?': 'Term 1 was a mix of online and in person. Seminars were in person (x4 a week), everything else was asynchronous and pre-recorded. \nTerm 2 was online only. Seminars 4x a week but always on MS teams.'}",rat5,"{""How good are your university's facilities?"": 'Good library resources and COVID space study spaces. World class health facilities. Great equipment in gym.'}",rat4,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Claudia,01 Apr 21,"Mathematics, Operational Research, Statistics and Economics (MORSE) MMorse",rat3,"{'Tell us about your overall university experience so far.': 'Because there is only 3hours a week of live seminar, and the lectures are pre recorded, it’s pretty hard to catch up and to ask questions. I think the university could have done better (something practical) to ensure students still get the maximum support.'}",rat4,,rat3,{'How many contact hours per week do you have?': '20'},rat4,,rat4,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Pharo,23 Mar 21,History and Politics BA (Hons),rat3,"{'Tell us about your overall university experience so far.': 'university has good facilities, services, and support available - however, due to current circumstances in the pandemic, i am unable to make use of these as much as i would like to, to the detriment of my overall university experience. Teaching offered has also been of good quality, but online learning is not as engaging as in-person.'}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'lots of opportunities are shared within my department, and also by other bodies, such as the student union, and departments that are focussed on career development.'}",rat4,,rat5,"{""How good are your university's facilities?"": 'good access to transport, main campus, and lots of services available on campus. \nlots of study space available, and other facilities (e.g. sports hub, etc.)'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'have not used any of the services offered, but am aware of a range of them available.'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Akansha,21 Mar 21,Marketing and Strategy (MSc),rat5,{'Tell us about your overall university experience so far.': 'The overall experience is really good. It could have been better if pandemic and online classes were not there but it’s still amazing. We feel at home with Warwick and the experience of being a part of such big community is great. The university is prestigious and allow us to have great career opportunities. All around I’m happy here.'},rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'There are so many workshops, guest lectures and events organised that it makes it so easy to develop networks.'}",rat3,{'How many contact hours per week do you have?': '6'},rat5,"{""How good are your university's facilities?"": 'The atmosphere of university is amazing. Everything feels sophisticated and A grade. It is clean at all times and it’s very very spacious and the architecture is quite modern.'}",rat5,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'They run special services to cope with mental tiredness and students who are feeling home sick. Any problem that I have had was resolved within 2 days. Support is always provided at Warwick.'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Student Reviewer,09 Nov 20,Postgraduate Certificate in Education (PGCE) in Secondary (11-18),rat1,"{'Tell us about your overall university experience so far.': 'Would not go. Staff are abusive towards trainees, and facilitate abuse (including racism and sexism) by their partner schools. \nUses threats to force trainees to not complain, and classes any grievances as due to a “lack of professionalism” on the part of the trainee.\nUsed invented allegations against trainees submitted without any evidence whatsoever in order to marginalise disfavoured students, and on multiple occasions outright refused to provide details and evidence with their accusations.\nComplaints procedure focuses only on covering the staff and not resolving problems.'}",rat3,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Placement based course so irrelevant question.'}",rat4,{'How many contact hours per week do you have?': '8'},rat4,"{""How good are your university's facilities?"": 'Good library etc.'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Access to counselling service was ok.'}",,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'Ostensibly good but never used by myself.'}",rat2,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Was a building site for the whole year and never finished properly. Always builders coming in and out and was forced to evacuate due to a faulty fire alarm.'}",rat4,"{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Good city to live in, nightlife and transport etc all good'}",rat3,{'How would you rate the variety of societies/sports?': 'Ostensibly good but never used by myself.'}
Student Reviewer,09 May 20,Accounting and Finance MSc,rat1,{'Tell us about your overall university experience so far.': 'Warwick university is a big avoid!!! They like to charge the fees for facilities that are not there. The library is very dated. Tutors do not seem to care especially at postgrad level. The admin team and not bothered by class sizes being overflowed for seminars.'},rat1,,rat1,{'How many contact hours per week do you have?': '20'},rat1,,rat1,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'It was not great. University tutors took forever replying to emails and sometimes they ignored it and you had to go personally find their office. Most of which they’ll never be in there'}",,,rat1,,rat1,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'It was very poor and bad for student health with a mould issue and incompetent staff'}",rat1,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'No. Warwick campus is very far from everything and has a pretty rubbish social life'},rat1,
