name,date,degree,score_OVERALL UNIVERSITY RATING,OVERALL UNIVERSITY RATING,score_Job Prospects,Job Prospects,score_Course and Lecturers,Course and Lecturers,score_Uni Facilities,Uni Facilities,score_Student Support,Student Support,score_Do you think your time at university this year has been value for money?,Do you think your time at university this year has been value for money?,score_Students' Union,Students' Union,score_Accommodation,Accommodation,score_Local life,Local life,score_Societies and Sports,Societies and Sports
Pranav,26 May 21,Law BA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'I felt that the law faculty could have done a bit more to make students feel like their interests are important. Many students expected the faculty to try and arrange for online social events, but no such efforts were taken. \nOnline classes came no where close to how amazing in-person classes are for learning. It would have been appreciated if the University did not try to exaggerate in their advertisements about their efforts in trying to ensure a quality of education through the online mode.'}",rat4,,rat4,{'How many contact hours per week do you have?': '200'},rat4,,rat5,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Peter,26 May 21,French and German BA (Hons),rat4,{'Tell us about your overall university experience so far.': 'My overall experience at Oxford has been overwhelmingly positive - having the opportunity to benefit from world-class facilities and high-quality academics at my fingertips is something for which I will be forever grateful. I am excited to pursue a enriching linguistic career upon graduation!'},rat5,,rat4,{'How many contact hours per week do you have?': '12'},rat5,,rat4,,ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Jena,24 May 21,German and Czech (with Slovak) BA (Hons),rat4,"{'Tell us about your overall university experience so far.': ""This year has been really nice in terms of getting used to the Oxford workload. While covid has limited the social side of things it has given me the time to adjust to work. This term the social side has come back and I feel well equipped to balance everything. My tutors have been really good at supporting me and my tute group through this tricky year. They've all been very understanding and accomodating to my mental health needs. Although my tutors have clearly done their best, online learning hasn't been as good as in-person. I feel that there are still significant insecurities in my knowledge due to the open-book nature of our exams and teaching.""}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Constant emails and resources.'}",rat5,{'How many contact hours per week do you have?': '13'},rat5,,rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Could do with longer-term counselling provisions'}",ratN,{'Do you think your time at university this year has been value for money?': 'No'},,,,,,,,
Samuel,13 Apr 21,Music DPhil,rat4,"{'Tell us about your overall university experience so far.': 'Considering the significant barriers to socialising and general life at University, I think the experience I have had this academic year has been really quite good. The university has, on the whole, managed the situation quite well - but my college (Queen’s) has adopted a particularly good stance which has enabled adherence to the government guidelines, whilst allowing the junior members to enjoy the experience as much as possible.'}",rat5,,rat4,"{'What do you like most and least about the way your course(s) are taught?': 'The contact I have with my supervisor is very good, and other members of academic staff are usually very receptive and responsive to emails'}",rat5,"{""How good are your university's facilities?"": 'The facilities, both in terms of outfitting and breadth of choice, are second to none.'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Support is good, but the waiting lists/bureaucracy is often quite long, so it can be difficult to get immediate support'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Eugene,12 Apr 21,Applied Theology MTh,rat5,"{'Tell us about your overall university experience so far.': ""The college and university have tried their best to make sure that the quality of education wasn't diminished this year because of COVID-19. This year being my dissertation year, with more emphasis on self-study and research instead of lots of contact hours with tutors, made it so that I didn't feel the impact as much as I might have in a different course. My supervisors this year have been excellent, so even though I didn't have a lot of contact hours, each tutorial session I had with them allowed me to hone my research further and further.""}",rat5,,rat5,"{'What do you like most and least about the way your course(s) are taught?': ""If you know what you want out of the course and what area you want to go into going forward, this is a really great course. The freedom in the range of topics you can pick for your papers really allows you to tailor the course to your specific needs. That being said, if you don't know, it might be better to choose a course with a more specific scope. I knew what I wanted to study and my future goals going into the course, and so I got a lot out of exploring theology from the lens of that area, but for someone with a less clear vision it may be harder to do that. Lectures can be hit or miss depending on if they are relevant to what you are studying, but it's worth it to listen to see if there are any interesting ideas you can write about in your paper. The most important people are the supervisors for your papers. If you get really good supervisors, you'll be challenged and stretched to go beyond your own assumptions and views about theology in order to craft a really good paper.""}",rat5,,rat5,,ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Student Reviewer,21 Mar 21,Integrated Immunology MSc,rat5,"{'Tell us about your overall university experience so far.': 'Although COVID made things inconvenient for everyone, my course was still really enjoyable with great support from the coordinators ensuring that all our needs are met. Challenging but fruitful year!'}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Career portals with useful information is easily available.'}",rat5,"{'What do you like most and least about the way your course(s) are taught?': 'We have face to face teachings at the beginning, but COVID lockdown and restrictions resulted the course to be conducted online.'}",rat5,"{""How good are your university's facilities?"": 'Friendly and helpful team, college has great facilities'}",rat5,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Emails are sent almost weekly to provide support for mental health and other related services.'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Issy,19 Mar 21,Japanese BA (Hons),rat4,"{'Tell us about your overall university experience so far.': 'Obviously not being on campus last term was not ideal, and online learning has had its challenges, but overall I’ve really enjoyed my course so far and felt supported by the university.'}",rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'There are a number of schemes in place to help with finding internships and jobs, as well as regular guest speakers and career support.'}",rat5,{'How many contact hours per week do you have?': '10'},rat4,"{""How good are your university's facilities?"": 'Vary between accommodation blocks but overall not bad. Have access to a kitchenette, shared bathrooms, etc.'}",rat5,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'The support is definitely there if you need it and the welfare team is great.'}",ratY,{'Do you think your time at university this year has been value for money?': 'Yes'},,,,,,,,
Gabriel,24 Jan 20,Mathematics MMath,rat4,"{'Tell us about your overall university experience so far.': 'Accommodation, location, teaching, facilities all of a very high standard. Life can be quite intense and sometimes overwhelmingly busy at points though.'}",rat4,,rat5,{'How many contact hours per week do you have?': '15'},rat5,,rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Most tutors excellent academically; personal support a bit lacking.'}",,,rat2,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'SU largely irrelevant to student life'}",rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Very good, very attractive buildings and fairly well maintained a bit expensive though'}",rat5,,rat4,"{'How would you rate the variety of societies/sports?': 'Huge range, not necessarily time to commit to more than a couple though.'}"
Rhys,24 Jan 20,Mathematics MMath,rat4,"{'Tell us about your overall university experience so far.': 'Overall very happy, just things here and there to be improved.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Decent amount of career events available to attend'}",rat4,{'How many contact hours per week do you have?': '10'},rat4,"{""How good are your university's facilities?"": 'Very good all round'}",rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Mental health help can be lacking.'}",,,rat4,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Generally good, but don't hear much about them""}",rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Accommodation can need a cost of maintenance but issues are quickly fixed'}",rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Extremely central location'},rat5,"{'How would you rate the variety of societies/sports?': 'Pretty much any sport, society is available'}"
Jenny,24 Jan 20,Mathematics MMath,rat4,{'Tell us about your overall university experience so far.': None},rat5,,rat3,{'How many contact hours per week do you have?': '10'},rat4,"{""How good are your university's facilities?"": 'Mostly really great and lots of renovations always improve things'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Lots of personal support offered, and college academic support is great, but university/department tutors are less so.'}",,,rat2,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Colleges pay way too much to the SU for not much return. Personally, have never attended any SU events and don't know what it does. Don't know anyone involved or who has been to anything they've run. Good LGBTQ+ support though.""}",rat5,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Very central and good accommodation convenient to have college provided rooms for the whole degree length'}",rat5,,rat5,{'How would you rate the variety of societies/sports?': 'Heaps of different options + always able to star something new both in college and in the uni.'}
Rachel,24 Jan 20,Mathematics MMath,rat5,{'Tell us about your overall university experience so far.': 'I have very much enjoyed the best few years here.'},rat5,,rat3,{'How many contact hours per week do you have?': '11'},rat5,,rat4,,,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'They are less central to student experience than college committees'}",rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'All very good, cost good'}",rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Everything is in cycling distance'},rat5,
Stefan,24 Jan 20,Mathematics MMath,rat5,{'Tell us about your overall university experience so far.': None},rat4,,rat4,{'How many contact hours per week do you have?': '10'},rat4,,rat3,,,,rat2,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Don't know anything about them""}",rat5,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Low cost every available. Sometimes small kitchens'}",rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Yes'},rat4,
Scott,24 Jan 20,Mathematics MMath,rat5,{'Tell us about your overall university experience so far.': None},rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Careers fairs are very useful'}",rat5,{'How many contact hours per week do you have?': '8'},rat5,,rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Welfare is good in college and tutors are supportive.'}",,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'Not involved so I have no clue'}",rat4,,rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Everything is usually walking distance'},rat5,{'How would you rate the variety of societies/sports?': 'Usually something for everyone'}
Leo,24 Jan 20,Mathematics MMath,rat5,{'Tell us about your overall university experience so far.': None},rat5,,rat3,,rat5,,rat3,,,,rat3,,rat5,,rat1,,rat5,
Brad,24 Jan 20,Mathematics MMath,rat5,{'Tell us about your overall university experience so far.': 'Too much coding'},rat5,,rat3,,rat5,,rat3,,,,rat5,,rat5,,rat5,,rat3,
Karolina,24 Jan 20,Mathematics and Philosophy MMath,rat5,{'Tell us about your overall university experience so far.': None},rat5,,rat5,,rat4,"{""How good are your university's facilities?"": 'Quite expensive e.g. sports hall'}",rat4,,,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'No experience'}",rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'It is quite expensive'}",rat5,,rat5,
Max,24 Jan 20,Theology and Religion BA (Hons),rat4,"{'Tell us about your overall university experience so far.': ""I love it but there could be more support from the uni, particularly it's such a high pressured environment.""}",rat3,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Emails!'}",rat3,{'How many contact hours per week do you have?': '7'},rat3,"{""How good are your university's facilities?"": 'Not all libraries are accessible'}",rat1,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Emotional support is rubbish - just run by students'}",,,rat2,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Apart from Fresher's Fair, I don't know what they do""}",rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'very expensive, no kitchens'}",rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Good distance form faculty + Tesco'},rat4,"{'How would you rate the variety of societies/sports?': ""Don't have time - too much work! Lots on offer though""}"
Alex,24 Jan 20,Mathematics MMath,rat4,{'Tell us about your overall university experience so far.': None},rat5,,rat3,{'How many contact hours per week do you have?': '4'},rat3,,rat4,,,,rat1,,rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Varies greatly between accommodation in college, but overall in good condition'}",rat5,,rat5,
Marcus,24 Jan 20,Engineering Science DPhil,rat5,{'Tell us about your overall university experience so far.': None},rat3,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Not sure'}",rat5,{'How many contact hours per week do you have?': '2'},rat3,"{""How good are your university's facilities?"": 'Begbroke Science Park is alright but not great'}",rat4,,,,rat2,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'Not sure what they do'}",rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'College accommodation is a bit expensive'}",rat3,,rat5,
Christopher,24 Jan 20,Mathematics and Statistics MMathStat,rat5,{'Tell us about your overall university experience so far.': 'Very positive'},rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Internship opportunities well advertised + careers fairs'}",rat4,{'How many contact hours per week do you have?': '3'},rat2,"{""How good are your university's facilities?"": 'Not amazing sports facilities (tennis in particular for me) due to planning permission problems.'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Both are very good'}",,,rat3,,rat5,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Very central + relatively cheap due to short term'}",rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Very good'},rat5,
Laurie,24 Jan 20,Mathematics MMath,rat4,{'Tell us about your overall university experience so far.': None},rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Good careers service, put in careers fairs etc.'}",rat4,,rat5,,rat3,,,,rat2,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'Unaware of them most of the time'}",rat3,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Expensive , but typical of oxford'}",rat5,,rat5,
Mark,24 Jan 20,Materials Science MEng (Hons),rat4,{'Tell us about your overall university experience so far.': None},rat5,,rat3,,rat4,,rat4,,,,non_app,,rat3,,rat4,,rat4,
Josh,24 Jan 20,Mathematics and Philosophy MMath,rat4,{'Tell us about your overall university experience so far.': 'Intense but its what I signed up for!'},rat5,,rat5,,rat5,,rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'I think there is a lot of provision per student but the intensity of the Oxford system means more provision is required.'}",,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'Less relevant due to College System'}",rat5,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Oxford is expensive but only paying for accommodation for 8 week term brings down the cost'}",rat5,,rat4,
Megan,24 Jan 20,Mathematics MMath,rat4,{'Tell us about your overall university experience so far.': None},rat3,,rat4,,rat5,,rat2,,,,rat1,,rat3,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Expensive sometimes refuse UAC residence'}",rat5,,rat5,
John,24 Jan 20,Physics (4-year MPhys) MPhys,rat5,{'Tell us about your overall university experience so far.': None},rat5,,rat5,,rat4,,rat4,,,,rat1,,rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Expensive'}",rat5,,rat5,
George,24 Jan 20,Engineering Science DPhil,rat5,"{'Tell us about your overall university experience so far.': ""It's a real privilege to be able to study here, especially considering where I'm from.""}",rat4,,rat5,,rat5,"{""How good are your university's facilities?"": 'This varies across departments'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'College is very supportive.'}",,,non_app,,rat4,,rat5,,rat5,
Joseph,22 Jan 20,Mathematics and Philosophy MMath,rat4,"{'Tell us about your overall university experience so far.': ""I just arrived a week ago, so i really don't know enough to answer most of these questions.""}",rat3,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': ""Don't know enough to answer""}",rat5,,rat4,,rat3,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': ""Don't know enough to answer""}",,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Don't know enough to answer""}",rat3,,rat5,,rat4,
Nathan,22 Jan 20,Computer Science and Philosophy MComp,rat5,{'Tell us about your overall university experience so far.': None},rat5,,rat4,,rat4,,rat4,,,,rat1,,rat5,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Huge rooms, recently vefed bided'}",rat4,,rat4,
Rachel,22 Jan 20,Mathematics MMath,rat4,{'Tell us about your overall university experience so far.': 'Stressful but rewarding!'},rat3,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Good amount of careers fairs and emails sent out by careers service'}",rat4,,rat4,"{""How good are your university's facilities?"": 'Maths department is amazing, uni gym is not so great'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Have had overall positive experiences with academic tutors, mental well-being does have the tendency to slip to the back-burner.'}",,,non_app,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'n/a'}",rat4,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Living close to college in a college owned house, minous and proximty to the city center'}",rat4,,rat5,"{'How would you rate the variety of societies/sports?': ""There's lots of college sports and uni-wide societies available.""}"
George,22 Jan 20,Mathematics MMath,rat5,"{'Tell us about your overall university experience so far.': 'Really enjoyed Oxford, would 10/10 recommend.'}",rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Careers service is readily available but most students are not involved with it.'}",rat5,{'How many contact hours per week do you have?': '6'},rat5,,rat5,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'Tutors are really helpful, n/a about counselling.'}",,,rat2,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""SU doesn't involve most of the students here""}",rat5,"{'What do you think about the safety, condition, location and cost of your accommodation?': ""It's affordable, much better than counterparts form USA""}",rat5,,rat4,
David,22 Jan 20,Mathematics MMath,rat5,{'Tell us about your overall university experience so far.': None},rat5,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'So many societies to put on your CV'}",rat5,,rat5,,rat5,,,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": ""Doesn't really represent the views of the students, but means well""}",rat5,"{'What do you think about the safety, condition, location and cost of your accommodation?': 'Great !'}",rat5,,rat5,{'How would you rate the variety of societies/sports?': 'Loads! Every sport imaginable'}
Sasha,22 Jan 20,Mathematics MMath,rat4,{'Tell us about your overall university experience so far.': 'Not too bad. Challenging.'},rat4,"{'How does your uni make efforts to increase your employability (careers department, work placements, transferable skills)?': 'Sent out a lot of opportunities for both jobs and internship'}",rat4,,rat3,"{""How good are your university's facilities?"": 'Could improve sporting facilities within the college'}",rat4,"{'How good is the support offered by the uni? Think both academic (tutors/feedback) and personal (counselling, etc).': 'A lot of opportunities were offered.'}",,,rat3,"{""What do you think of your Students' Union in terms of student representation and facilities?"": 'Not using it very often'}",,,rat5,{'Is your university in a good location in terms of distance to accommodation and local amenities?': 'Convenient location'},rat5,{'How would you rate the variety of societies/sports?': 'A large variety of societies'}
Sarah,22 Jan 20,Mathematics and Computer Science MMath,rat3,{'Tell us about your overall university experience so far.': None},rat3,,rat3,,rat4,,rat2,,,,rat1,,rat4,,rat5,,rat3,
Jessie,22 Jan 20,Mathematics and Computer Science MMath,rat3,{'Tell us about your overall university experience so far.': None},rat3,,rat2,,rat4,,rat2,,,,rat2,,rat4,,rat4,,rat3,
Tim,22 Jan 20,Mathematics MMath,rat5,{'Tell us about your overall university experience so far.': None},rat5,,rat3,,rat5,,rat4,,,,rat2,,rat5,,rat5,,rat5,
Hugo,22 Jan 20,Mathematics MMath,rat3,{'Tell us about your overall university experience so far.': None},rat4,,rat3,,rat5,,rat4,,,,rat4,,rat5,,rat5,,rat4,
